Designation,Prov_Des,Ln,q,Q,EMoid,H,Epoch,M,Peri,Node,Incl,e,a,Opps,Ref,Designation,name,year,month,day,ate,site,discovers
,2021,HD,0.614,1.212,0.0088,26.27,20201217,126.7,127.8,208.4,14.1,0.328,0.913,(  1d),E2021-H35,2021,HD,2021,4,16,F51,Pan-STARRS,1
,2021,GU6,0.377,1.062,0.02597,26.42,20201217,29,346.8,20,15.5,0.476,0.72,(  3d),E2021-GI7,2021,GU6,2021,4,10,G96,Mt. Lemmon,Survey
,2021,GU3,0.465,1.029,0.0048,26.9,20201217,341.3,15,15.5,7.5,0.377,0.747,(  1d),E2021-GA5,2021,GU3,2021,4,7,G96,Mt. Lemmon,Survey
,2021,GT2,0.735,1.179,0.01487,24.27,20201217,63,133.9,240,3.1,0.232,0.957,( 10d),E2021-GL9,2021,GT2,2021,4,4,G96,Mt. Lemmon,Survey
,2021,GS12,0.719,1.163,0.02603,25.57,20201217,337.9,204.1,228.4,2.5,0.236,0.941,(  5d),E2021-H07,2021,GS12,2021,4,14,F51,Pan-STARRS,1
,2021,GQ5,0.58,1.048,0.00076,28.52,20201217,70.8,333,21.1,4.2,0.287,0.814,(  1d),E2021-GG3,2021,GQ5,2021,4,10,703,CSS,
,2021,GP3,0.608,1.087,0.03743,24.2,20201217,41,344.1,33.2,6.9,0.282,0.848,( 26d),E2021-H07,2021,GP3,2021,4,6,F52,Pan-STARRS,2
,2021,GN9,0.561,1.323,0.10328,23.26,20201217,73.2,342.3,31.3,9.6,0.404,0.942,( 24d),E2021-GK1,2021,GN9,2021,4,10,F51,Pan-STARRS,1
,2021,GN1,0.809,1.189,0.03161,26.48,20201217,343.6,68.8,14.1,26.9,0.19,0.999,(  1d),E2021-G48,2021,GN1,2021,4,4,G96,Mt. Lemmon,Survey
,2021,GL7,0.429,1.494,0.05272,24,20201217,167.7,350.2,341,4.4,0.554,0.961,(  4d),E2021-GK1,2021,GL7,2021,4,10,G96,Mt. Lemmon,Survey
,2021,GK6,0.734,1.163,0.12063,23.9,20201217,106.6,153.1,193.6,29.1,0.226,0.948,(  7d),E2021-GG3,2021,GK6,2021,4,9,F51,Pan-STARRS,1
