"GEO_ID","NAME","DATE_CODE","POP"
"id","Geographic Area Name","Estimate Date","Population"
"0100000US","United States","4/1/2010 Census population","308745538"
"0100000US","United States","4/1/2010 population estimates base","308758105"
"0100000US","United States","7/1/2010 population estimate","309321666"
"0100000US","United States","7/1/2011 population estimate","311556874"
"0100000US","United States","7/1/2012 population estimate","313830990"
"0100000US","United States","7/1/2013 population estimate","315993715"
"0100000US","United States","7/1/2014 population estimate","318301008"
"0100000US","United States","7/1/2015 population estimate","320635163"
"0100000US","United States","7/1/2016 population estimate","322941311"
"0100000US","United States","7/1/2017 population estimate","324985539"
"0100000US","United States","7/1/2018 population estimate","326687501"
"0100000US","United States","7/1/2019 population estimate","328239523"
